county,munic_type,municipality,system,vendor,equipment,equipment_acc
BAYFIELD,VILLAGE,MASON,Paper Ballot,,,ES&S AutoMARK
BROWN,CITY,DE PERE,Optical Scan,ES&S,Eagle w/ modem and,ES&S AutoMARK
BROWN,CITY,GREEN BAY,Optical Scan,ES&S,Eagle,ES&S AutoMARK
BROWN,TOWN,EATON,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,GLENMORE,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,GREEN BAY,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,HOLLAND,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,HUMBOLDT,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,LAWRENCE,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,LEDGEVIEW,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,MORRISON,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,NEW DENMARK,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,PITTSFIELD,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,ROCKLAND,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,SCOTT,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,TOWN,WRIGHTSTOWN,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,VILLAGE,ALLOUEZ,Optical Scan,ES&S,Eagle,ES&S AutoMARK
BROWN,VILLAGE,ASHWAUBENON,Optical Scan,ES&S,Eagle (no modem and,ES&S AutoMARK
BROWN,VILLAGE,BELLEVUE,Optical Scan,ES&S,Eagle (no modem & w/,ES&S AutoMARK
BROWN,VILLAGE,DENMARK,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,VILLAGE,HOBART,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN,VILLAGE,SUAMICO,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN/OCONTO/SHA,VILLAGE,PULASKI,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BROWN/OUTAGAMIE,VILLAGE,HOWARD,Optical Scan,ES&S,Eagle w/ modem,ES&S AutoMARK
BUFFALO,CITY,ALMA,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,CITY,BUFFALO CITY,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,CITY,FOUNTAIN CITY,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,CITY,MONDOVI,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,ALMA,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,BELVIDERE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,BUFFALO,Paper Ballot,,,Vote-Pad
BUFFALO,TOWN,CANTON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,CROSS,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,DOVER,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,GILMANTON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,GLENCOE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,LINCOLN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,MAXVILLE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,MILTON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,MODENA,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,MONDOVI,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,MONTANA,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,NAPLES,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,NELSON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,TOWN,WAUMANDEE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,VILLAGE,COCHRANE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BUFFALO,VILLAGE,NELSON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,ANDERSON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,BLAINE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,DANIELS,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,DEWEY,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,GRANTSBURG,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,JACKSON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,LA FOLLETTE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,LINCOLN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,MEENON,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,OAKLAND,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,ROOSEVELT,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,RUSK,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,SAND LAKE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,SCOTT,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,SIREN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,SWISS,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,TRADE LAKE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,UNION,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,WEBB LAKE,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,WEST MARSHLAND,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,TOWN,WOOD RIVER,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,VILLAGE,GRANTSBURG,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,VILLAGE,SIREN,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
BURNETT,VILLAGE,WEBSTER,Paper Ballot,,,SEQ-AVC Edge II 5.0.24
CALUMET,CITY,BRILLION,Optical Scan,Premier,AccuVote-ES 2000,Premier AccuVote TSX
CALUMET,CITY,CHILTON,Optical Scan,Premier,AccuVote-ES 2000,Premier AccuVote TSX
CALUMET,CITY,NEW HOLSTEIN,Optical Scan,Premier,AccuVote-ES 2000,Premier AccuVote TSX
CALUMET,TOWN,BRILLION,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,BROTHERTOWN,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,CHARLESTOWN,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,CHILTON,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,HARRISON,Optical Scan,Premier,AccuVote-ES 2000,Premier AccuVote TSX
CALUMET,TOWN,NEW HOLSTEIN,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,RANTOUL,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,STOCKBRIDGE,Paper Ballot,,,Premier AccuVote TSX
CALUMET,TOWN,WOODVILLE,Paper Ballot,,,Premier AccuVote TSX
CALUMET,VILLAGE,HILBERT,Paper Ballot,,,Premier AccuVote TSX
CALUMET,VILLAGE,POTTER,Paper Ballot,,,Premier AccuVote TSX
CALUMET,VILLAGE,SHERWOOD,Optical Scan,Premier,AccuVote-ES 2000,Premier AccuVote TSX
CALUMET,VILLAGE,STOCKBRIDGE,Paper Ballot,,,Premier AccuVote TSX
CALUMET/MANITOWO,CITY,KIEL,Optical Scan,Premier,AccuVote-ES 2000,Premier AccuVote TSX
CALUMET/WINNEBAGO,CITY,MENASHA,Optical Scan,Premier,AccuVote-ES 2000 Premier AccuVote TSX,AccuVote-ES 2000 Premier AccuVote TSX
CALUMET/WINNEBAGO,CITY,APPLETON,Optical Scan,ES&S,M100 ES&S AutoMARK,M100 ES&S AutoMARK
CHIPPEWA,CITY,BLOOMER,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,CITY,CHIPPEWA FALLS,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,CITY,CORNELL,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,ANSON,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,ARTHUR,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,AUBURN,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,BIRCH CREEK,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,BLOOMER,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,CLEVELAND,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,COLBURN,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,COOKS VALLEY,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,DELMAR,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,EAGLE POINT,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,EDSON,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,ESTELLA,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,GOETZ,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,HALLIE,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,HOWARD,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,LAFAYETTE,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,LAKE HOLCOMBE,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,RUBY,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,SAMPSON,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,SIGEL,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,TILDEN,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,WHEATON,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,TOWN,WOODMOHR,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,VILLAGE,BOYD,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,VILLAGE,CADOTT,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA,VILLAGE,LAKE HALLIE,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA/BARRON,VILLAGE,NEW AUBURN,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CHIPPEWA/CLARK,CITY,STANLEY,Optical Scan,Premier,AccuVote-ES 2000,SEQ-AVC Edge II 5.0.24
CLARK,CITY,GREENWOOD,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,CITY,LOYAL,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,CITY,NEILLSVILLE,Optical Scan,ES&S,M100 (no modem),ES&S AutoMARK
CLARK,CITY,OWEN,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,CITY,THORP,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,BEAVER,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,BUTLER,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,COLBY,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,DEWHURST,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,EATON,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,FOSTER,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,FREMONT,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,GRANT,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,GREEN GROVE,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,HENDREN,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,HEWETT,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,HIXON,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,HOARD,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,LEVIS,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,LONGWOOD,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,LOYAL,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,LYNN,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,MAYVILLE,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,MEAD,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,MENTOR,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,PINE VALLEY,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,RESEBURG,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,SEIF,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,SHERMAN,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,SHERWOOD,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,THORP,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,UNITY,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,WARNER,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,WASHBURN,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,WESTON,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,WITHEE,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,WORDEN,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,TOWN,YORK,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,VILLAGE,CURTISS,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,VILLAGE,GRANTON,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK,VILLAGE,WITHEE,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK/MARATHON,CITY,ABBOTSFORD,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK/MARATHON,CITY,COLBY,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
CLARK/MARATHON,VILLAGE,UNITY,Optical Scan,ES&S,150 Central Count,ES&S iVotronic
COLUMBIA,CITY,LODI,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,CITY,PORTAGE,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,ARLINGTON,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,CALEDONIA,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,COLUMBUS,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,COURTLAND,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,DEKORRA,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,FORT WINNEBAGO,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,FOUNTAIN PRAIRIE,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,HAMPDEN,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,LEEDS,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,LEWISTON,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,LODI,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,LOWVILLE,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,MARCELLON,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,NEWPORT,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,OTSEGO,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,PACIFIC,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,RANDOLPH,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,SCOTT,Optical Scan,ES&S,M 100,ES&S AutoMARK
COLUMBIA,TOWN,SPRINGVALE,Optical Scan,ES&S,M 100,ES&S AutoMARK
